seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
6940304193960507239,3,240,24,1674.6145767982568,816.5188166666667,601.5124267982569,256.5833333333333,8947,0
8994497875694156924,3,240,24,1415.4563411241875,623.5350833333333,591.2045911241876,200.71666666666667,8023,0
-2003976480001387728,3,240,24,1616.0968669224364,759.6760333333333,610.5041669224365,245.91666666666666,8438,0
-2327051053310206553,3,240,24,1507.3647273557617,702.3724,592.3589940224286,212.63333333333333,8274,0
647836301658713295,3,240,24,1498.4323208622875,672.3916333333333,602.9740208622876,223.06666666666666,7758,0
-71164265115712545,3,240,24,1505.1899098062502,695.0971666666667,599.8594098062503,210.23333333333332,9008,0
-481587656727886274,3,240,24,1479.3929728530065,707.0289333333334,571.7140395196732,200.65,8960,0
-4655524451843305732,3,240,24,1656.332693316516,799.32415,620.9252099831826,236.08333333333334,9006,0
-1727967857368879678,3,240,24,1658.9594713563724,808.9341,594.958704689706,255.06666666666666,9406,0
5771633175417198029,3,240,24,1577.1412415033265,751.33325,599.274658169993,226.53333333333333,8780,0
782583506969552992,4,240,24,1314.9296583113698,536.7409333333334,601.2887249780364,176.9,9133,0
-5541464229484342020,4,240,24,1183.981084316631,442.5738,590.8572843166311,150.55,9078,0
5203306459365885672,4,240,24,1102.3272492124104,397.21236666666664,564.7148825457438,140.4,8801,0
7642908639498411342,4,240,24,1089.0526917007853,392.82998333333336,555.4227083674521,140.8,10236,0
-2451299337107840008,4,240,24,1491.2320873415194,656.1399833333334,640.2421040081862,194.85,9822,0
5928283818417923153,4,240,24,1257.0432577972301,507.1530666666667,574.9568577972301,174.93333333333334,8921,0
2461734090402507026,4,240,24,1342.2299384617736,554.5639166666666,599.866021795107,187.8,8601,0
2134024673109844781,4,240,24,1165.7112964553628,432.3238666666667,587.4374297886961,145.95,8592,0
-8961300118901020200,4,240,24,1349.712342235342,558.8494,611.4796089020089,179.38333333333333,9066,0
8075292919129901534,4,240,24,1207.3390068348385,508.74766666666665,543.0413401681719,155.55,8805,0
-8261313408374103090,4,240,24,1275.8320820023,524.6742666666667,577.7244820023001,173.43333333333334,9797,0
7674419966232165276,4,240,24,1143.0678959152456,445.0713,554.2799292485789,143.71666666666667,8601,0
7109546606045534716,4,240,24,1220.1219175836181,455.5670166666667,601.121567583618,163.43333333333334,9491,0
6556361022965809331,4,240,24,1516.236682001068,704.3035833333333,609.3997653344013,202.53333333333333,10694,0
-8727434480880003295,4,240,24,1096.796871982808,399.9839666666667,561.3629053161413,135.45,9581,0
316214762330218711,4,240,24,1436.76951098394,624.6921,601.4607443172733,210.61666666666667,8966,0
511168606054560241,4,240,24,1308.0541677644528,490.21048333333334,638.0936844311194,179.75,9041,0
-6944560613166325532,4,240,24,1197.4024928149258,451.8272166666667,588.2752761482593,157.3,8601,0
8502646895184153456,4,240,24,1341.7239564065744,572.19195,586.2486730732412,183.28333333333333,8966,0
-6150989588647184654,4,240,24,1266.856578140159,494.6804,603.9428448068255,168.23333333333332,9949,0
6940304193960507239,4,240,24,1392.0231248319399,599.1839333333334,606.7891914986064,186.05,10366,0
8994497875694156924,4,240,24,1456.8636439239845,633.9581666666667,620.4721439239844,202.43333333333334,10274,0
-2003976480001387728,4,240,24,1435.3945633837245,662.8673833333334,583.4771800503913,189.05,9909,0
-2327051053310206553,4,240,24,1209.1993637308613,456.60555,598.1271470641946,154.46666666666667,8802,0
647836301658713295,4,240,24,1351.611038118231,594.0340666666667,574.5269714515642,183.05,8879,0
-71164265115712545,4,240,24,1106.8308185626552,386.68378333333334,571.530368562655,148.61666666666667,8728,0
-481587656727886274,4,240,24,1451.4178196632927,633.75135,621.7331363299593,195.93333333333334,9993,0
-4655524451843305732,4,240,24,1112.9402343716251,397.60795,576.4656177049586,138.86666666666667,9252,0
-1727967857368879678,4,240,24,1236.5336272004097,508.52441666666664,558.0758772004096,169.93333333333334,9789,0
5771633175417198029,4,240,24,1119.5513892730914,392.6167,581.7346892730914,145.2,9425,0
782583506969552992,5,240,24,1158.8908142744679,486.98271666666665,511.00809760780106,160.9,6979,0
-5541464229484342020,5,240,24,1488.5667901992128,737.4567833333333,540.2433401992126,210.86666666666667,7842,0
5203306459365885672,5,240,24,1499.077675090024,722.491,557.2200084233574,219.36666666666667,7884,0
7642908639498411342,5,240,24,1349.258163934921,608.9304,547.3610972682543,192.96666666666667,7886,0
-2451299337107840008,5,240,24,1237.6840355981217,511.18238333333335,546.6016522647883,179.9,6719,0
5928283818417923153,5,240,24,1351.5185309431768,598.83595,560.26591427651,192.41666666666666,7570,0
2461734090402507026,5,240,24,1266.635706603176,552.5108166666666,529.2582232698425,184.86666666666667,7720,0
2134024673109844781,5,240,24,1373.2236736174464,623.2652833333333,556.0250569507798,193.93333333333334,7921,0
-8961300118901020200,5,240,24,1356.411725686678,602.9847833333333,559.4269423533448,194.0,7679,0
8075292919129901534,5,240,24,1373.0410483788955,604.70935,574.2650317122291,194.06666666666666,7590,0
-8261313408374103090,5,240,24,1262.4220436019848,516.2977833333333,563.9575936019849,182.16666666666666,7907,0
7674419966232165276,5,240,24,1328.1855015196375,586.9605166666666,550.3083181863041,190.91666666666666,7687,0
7109546606045534716,5,240,24,1282.0421067619993,559.2964,549.7290400953327,173.01666666666668,8093,0
6556361022965809331,5,240,24,1154.591586356131,480.2110666666667,511.5471863561311,162.83333333333334,6733,0
-8727434480880003295,5,240,24,1237.2125909634576,525.7753,549.0372909634575,162.4,7541,0
316214762330218711,5,240,24,1369.3328756993674,637.73545,544.9807590327006,186.61666666666667,7478,0
511168606054560241,5,240,24,1352.356247840334,624.5109,525.0786811736673,202.76666666666668,8232,0
-6944560613166325532,5,240,24,1234.7029472591973,526.1749833333333,539.2946305925308,169.23333333333332,7251,0
8502646895184153456,5,240,24,1411.523348942418,669.8324333333334,547.5075822757511,194.18333333333334,8386,0
-6150989588647184654,5,240,24,1580.4142695761482,846.57795,514.9029862428148,218.93333333333334,8169,0
6940304193960507239,5,240,24,1274.483498346238,552.0311,552.402398346238,170.05,7664,0
8994497875694156924,5,240,24,1405.316461824134,620.95775,581.2753784908007,203.08333333333334,7562,0
-2003976480001387728,5,240,24,1164.943392710259,475.71751666666665,524.3425427102592,164.88333333333333,7237,0
-2327051053310206553,5,240,24,1373.898288222348,634.5916333333333,536.9733215556813,202.33333333333334,7218,0
647836301658713295,5,240,24,1319.4718319554092,580.9720666666667,543.1664319554094,195.33333333333334,7517,0
-71164265115712545,5,240,24,1169.2555943408347,478.14555,539.3100443408348,151.8,7088,0
-481587656727886274,5,240,24,1180.601923088571,492.95585,522.2127397552377,165.43333333333334,6393,0
-4655524451843305732,5,240,24,1258.6236336576385,558.0041166666666,527.0861836576386,173.53333333333333,6010,0
-1727967857368879678,5,240,24,1505.7494534759812,740.3739166666667,544.5922034759813,220.78333333333333,5116,0
5771633175417198029,5,240,24,1353.405437072183,608.0674333333334,553.3880037388498,191.95,4628,0
1401.784564443602std=210.29057059836842
